# Issues Total: 208
# Repository: https://github.com/shopify/roast
# Generated: 2025-08-13
#
issue_title,comments_count,labels,opened_date,hyperlink
No explicit ordering of initializer load,0,deficiency,2025-07-23,https://github.com/shopify/roast/issues/332
Feature Request: Add Ollama LLM Support via `ollama-ai` Gem,0,,2025-06-20,https://github.com/shopify/roast/issues/288
ripgrep fallback,1,developer-experience,2025-08-06,https://github.com/shopify/roast/issues/344
Token usage counts don't include agent calls,0,enhancement,2025-08-05,https://github.com/shopify/roast/issues/343
Add option for Coding Agent to resume from a specific session,0,,2025-07-02,https://github.com/shopify/roast/issues/302
Accept STDIN input in place of a file.,0,,2025-08-01,https://github.com/shopify/roast/issues/342
Cleanup child processes on SIGINT,0,"Bug, deficiency",2025-07-30,https://github.com/shopify/roast/issues/340
"""""Argument list too long"""" from ShellScriptStep on large `workflow.output`",0,"Bug, deficiency",2025-07-24,https://github.com/shopify/roast/issues/337
"Named shell steps appear in output and notification payload as their command, not name.",0,deficiency,2025-07-23,https://github.com/shopify/roast/issues/336
Plain ruby step de-pluralizes to get constant,0,deficiency,2025-07-23,https://github.com/shopify/roast/issues/335
Rigid naming convention for plain ruby steps,0,deficiency,2025-07-23,https://github.com/shopify/roast/issues/334
Step events are missing workflow name in payload,0,deficiency,2025-07-23,https://github.com/shopify/roast/issues/333
Remove StepOrchestrator and fold into StepExecutorCoordinator,0,,2025-07-12,https://github.com/shopify/roast/issues/318
Feature: support responses API,0,,2025-07-21,https://github.com/shopify/roast/issues/331
ShellScriptStep doesn't respect `print_response: true`,0,Bug,2025-07-16,https://github.com/shopify/roast/issues/328
Streaming output from steps,0,enhancement,2025-07-16,https://github.com/shopify/roast/issues/330
Feature Request: Parallel Execution for Iterated Steps,0,,2025-07-15,https://github.com/shopify/roast/issues/325
Timeout leaves zombie processes,0,,2025-07-14,https://github.com/shopify/roast/issues/324
Roast does not give more details about 500 errors,1,,2025-07-14,https://github.com/shopify/roast/issues/323
Circuit Breakers (instead of hand-rolled retry),0,,2025-07-07,https://github.com/shopify/roast/issues/309
CodingAgent JSON parsing fails when response includes surrounding text,0,,2025-07-02,https://github.com/shopify/roast/issues/305
CodingAgent does not parse result as json when `json: true` is configured,0,,2025-07-02,https://github.com/shopify/roast/issues/303
Morph-powered File Edit tool,0,,2025-06-27,https://github.com/shopify/roast/issues/301
Infinite loop if project root is not under home,0,,2025-06-27,https://github.com/shopify/roast/issues/300
Agent Step Not Working Properly,1,,2025-06-21,https://github.com/shopify/roast/issues/293
AgentStep fails with NoMethodError trying to read config,0,Bug,2025-06-25,https://github.com/shopify/roast/issues/298
Noisy output when running tests :(,0,,2025-06-24,https://github.com/shopify/roast/issues/297
Default to filestorage instead of sqlite ?,0,,2025-06-21,https://github.com/shopify/roast/issues/296
"429 error - unable to run """"Try it"""" workflow",0,,2025-06-19,https://github.com/shopify/roast/issues/286
Add timeout mechanism to Bash tool,1,"enhancement, good first issue",2025-06-02,https://github.com/shopify/roast/issues/133
Rails Database Session Storage Adapter,0,enhancement,2025-06-18,https://github.com/shopify/roast/issues/281
Rails Autoloading Support for Workflows,0,enhancement,2025-06-18,https://github.com/shopify/roast/issues/280
Rails Cache Store Integration,0,enhancement,2025-06-18,https://github.com/shopify/roast/issues/279
Rails Workflow Generator,0,enhancement,2025-06-18,https://github.com/shopify/roast/issues/278
Rails Database Migration Analysis Workflow Example,0,enhancement,2025-06-18,https://github.com/shopify/roast/issues/277
ActiveSupport::Notifications Integration for APM,0,enhancement,2025-06-18,https://github.com/shopify/roast/issues/276
